,season,week,pollster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
7867,2020,2,wayne-epps,gonzaga,baylor,iowa,wisconsin,illinois,duke,kansas,creighton,michigan-state,west-virginia,north-carolina,tennessee,houston,villanova,texas,virginia,ohio-state,arizona-state,texas-tech,virginia-tech,richmond,kentucky,oregon,florida-state,rutgers
7868,2020,3,wayne-epps,gonzaga,baylor,iowa,michigan-state,kansas,creighton,houston,illinois,duke,wisconsin,west-virginia,villanova,tennessee,virginia,virginia-tech,texas,north-carolina,texas-tech,richmond,florida-state,ohio-state,rutgers,arizona-state,michigan,san-diego-state
7869,2020,4,wayne-epps,gonzaga,baylor,iowa,michigan-state,kansas,houston,villanova,west-virginia,creighton,tennessee,illinois,wisconsin,texas,texas-tech,duke,florida-state,north-carolina,virginia,rutgers,ohio-state,san-diego-state,virginia-tech,richmond,louisville,michigan
7870,2020,5,wayne-epps,gonzaga,baylor,kansas,iowa,houston,villanova,west-virginia,tennessee,texas,wisconsin,michigan-state,rutgers,creighton,texas-tech,missouri,north-carolina,duke,virginia,virginia-tech,florida-state,illinois,ohio-state,richmond,michigan,xavier
7871,2020,6,wayne-epps,gonzaga,baylor,kansas,villanova,houston,tennessee,iowa,wisconsin,west-virginia,texas,creighton,texas-tech,missouri,michigan-state,rutgers,illinois,michigan,duke,florida-state,virginia,virginia-tech,northwestern,minnesota,ohio-state,xavier
7872,2020,7,wayne-epps,gonzaga,baylor,villanova,texas,iowa,kansas,creighton,wisconsin,tennessee,houston,west-virginia,illinois,missouri,michigan,rutgers,texas-tech,minnesota,oregon,duke,virginia,virginia-tech,clemson,michigan-state,florida-state,northwestern
7873,2020,8,wayne-epps,gonzaga,baylor,villanova,texas,iowa,kansas,creighton,wisconsin,tennessee,michigan,houston,texas-tech,clemson,west-virginia,illinois,duke,virginia,missouri,louisville,minnesota,oregon,virginia-tech,michigan-state,rutgers,florida-state
7874,2020,9,wayne-epps,gonzaga,baylor,villanova,iowa,tennessee,houston,texas,kansas,michigan,wisconsin,creighton,texas-tech,virginia,west-virginia,ohio-state,missouri,minnesota,virginia-tech,clemson,louisville,alabama,oregon,connecticut,saint-louis,ucla
7875,2020,10,wayne-epps,gonzaga,baylor,villanova,texas,michigan,houston,iowa,virginia,texas-tech,west-virginia,missouri,tennessee,kansas,alabama,ohio-state,wisconsin,creighton,illinois,florida-state,virginia-tech,minnesota,louisville,oregon,ucla,saint-louis
7876,2020,11,wayne-epps,gonzaga,baylor,villanova,michigan,houston,ohio-state,tennessee,texas,creighton,illinois,virginia-tech,oklahoma,iowa,virginia,west-virginia,ucla,texas-tech,alabama,missouri,wisconsin,kansas,florida-state,florida,oklahoma-state,xavier
7877,2020,12,wayne-epps,gonzaga,baylor,michigan,ohio-state,illinois,villanova,texas-tech,houston,virginia,texas,west-virginia,missouri,oklahoma,iowa,alabama,tennessee,creighton,virginia-tech,florida-state,wisconsin,usc,loyola,xavier,kansas,purdue
7878,2020,13,wayne-epps,gonzaga,baylor,michigan,ohio-state,illinois,virginia,houston,alabama,oklahoma,creighton,villanova,texas,texas-tech,iowa,west-virginia,florida-state,tennessee,usc,missouri,virginia-tech,wisconsin,kansas,drake,loyola,lsu
7879,2020,14,wayne-epps,gonzaga,baylor,michigan,illinois,ohio-state,alabama,iowa,oklahoma,villanova,florida-state,houston,west-virginia,virginia,texas,creighton,kansas,virginia-tech,loyola,arkansas,san-diego-state,wisconsin,usc,texas-tech,tennessee,oregon
7880,2020,15,wayne-epps,gonzaga,michigan,west-virginia,iowa,baylor,illinois,houston,alabama,ohio-state,oklahoma,villanova,florida-state,arkansas,creighton,texas,texas-tech,kansas,oklahoma-state,san-diego-state,virginia-tech,virginia,loyola,purdue,wisconsin,clemson
7881,2020,16,wayne-epps,gonzaga,baylor,illinois,iowa,alabama,michigan,houston,arkansas,kansas,ohio-state,west-virginia,texas,villanova,oklahoma-state,creighton,florida-state,san-diego-state,texas-tech,virginia,loyola,oklahoma,virginia-tech,purdue,colorado,byu
7882,2020,17,wayne-epps,gonzaga,baylor,illinois,michigan,alabama,iowa,houston,texas,ohio-state,arkansas,kansas,oklahoma-state,west-virginia,florida-state,villanova,virginia,san-diego-state,loyola,creighton,texas-tech,purdue,colorado,usc,virginia-tech,oklahoma
7883,2020,18,wayne-epps,gonzaga,baylor,illinois,michigan,alabama,iowa,houston,texas,ohio-state,arkansas,kansas,oklahoma-state,west-virginia,florida-state,villanova,virginia,san-diego-state,loyola,creighton,texas-tech,purdue,colorado,usc,virginia-tech,oklahoma
7884,2020,19,wayne-epps,gonzaga,baylor,illinois,michigan,alabama,iowa,houston,texas,ohio-state,arkansas,kansas,oklahoma-state,west-virginia,florida-state,villanova,virginia,san-diego-state,loyola,creighton,texas-tech,purdue,colorado,usc,virginia-tech,oklahoma
7885,2020,1,john-feinstein,virginia,gonzaga,villanova,iowa,kansas,baylor,michigan-state,kentucky,wisconsin,duke,tennessee,north-carolina,texas,texas-tech,ohio-state,west-virginia,creighton,auburn,ucla,arizona-state,florida-state,illinois,oregon,rutgers,san-diego-state
7886,2020,2,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7887,2020,3,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7888,2020,4,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7889,2020,5,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7890,2020,6,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7891,2020,7,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7892,2020,8,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7893,2020,9,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7894,2020,10,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7895,2020,11,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7896,2020,12,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7897,2020,13,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7898,2020,14,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7899,2020,15,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7900,2020,16,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7901,2020,17,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7902,2020,18,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7903,2020,19,john-feinstein,,,,,,,,,,,,,,,,,,,,,,,,,
7904,2020,1,marcus-fuller,baylor,gonzaga,villanova,wisconsin,iowa,virginia,illinois,duke,kansas,kentucky,tennessee,creighton,texas-tech,michigan-state,west-virginia,north-carolina,oregon,michigan,florida-state,arizona-state,rutgers,houston,ucla,lsu,richmond
7905,2020,2,marcus-fuller,gonzaga,baylor,iowa,wisconsin,illinois,villanova,kansas,duke,west-virginia,creighton,tennessee,virginia,michigan-state,houston,kentucky,north-carolina,oregon,texas-tech,florida-state,arizona-state,rutgers,richmond,virginia-tech,texas,ohio-state
7906,2020,3,marcus-fuller,gonzaga,baylor,iowa,villanova,illinois,michigan-state,kansas,duke,west-virginia,creighton,wisconsin,tennessee,virginia,houston,texas-tech,texas,florida-state,north-carolina,rutgers,virginia-tech,richmond,arizona-state,ohio-state,michigan,saint-louis
7907,2020,4,marcus-fuller,gonzaga,baylor,iowa,villanova,michigan-state,kansas,west-virginia,houston,creighton,tennessee,wisconsin,illinois,duke,virginia,florida-state,texas,texas-tech,rutgers,san-diego-state,missouri,ohio-state,michigan,saint-louis,louisville,virginia-tech
7908,2020,5,marcus-fuller,gonzaga,baylor,villanova,kansas,iowa,houston,west-virginia,wisconsin,tennessee,michigan-state,rutgers,texas,duke,virginia,creighton,missouri,texas-tech,illinois,florida-state,michigan,san-diego-state,xavier,ohio-state,virginia-tech,north-carolina
7909,2020,6,marcus-fuller,gonzaga,baylor,kansas,villanova,wisconsin,houston,tennessee,west-virginia,texas,iowa,creighton,rutgers,michigan-state,missouri,duke,texas-tech,illinois,michigan,florida-state,virginia,northwestern,ohio-state,minnesota,virginia-tech,xavier
7910,2020,7,marcus-fuller,gonzaga,baylor,villanova,texas,kansas,iowa,wisconsin,tennessee,houston,creighton,michigan,rutgers,missouri,illinois,west-virginia,texas-tech,duke,oregon,florida-state,minnesota,virginia,virginia-tech,clemson,northwestern,michigan-state
7911,2020,8,marcus-fuller,gonzaga,baylor,villanova,texas,iowa,kansas,michigan,wisconsin,creighton,tennessee,houston,texas-tech,clemson,illinois,west-virginia,missouri,duke,louisville,oregon,virginia,virginia-tech,florida-state,saint-louis,minnesota,ohio-state
7912,2020,9,marcus-fuller,gonzaga,baylor,villanova,iowa,michigan,texas,tennessee,kansas,houston,wisconsin,virginia,creighton,texas-tech,west-virginia,missouri,virginia-tech,minnesota,ohio-state,louisville,clemson,oregon,florida-state,ucla,saint-louis,alabama
7913,2020,10,marcus-fuller,gonzaga,baylor,villanova,michigan,texas,iowa,houston,virginia,missouri,wisconsin,texas-tech,creighton,ohio-state,alabama,west-virginia,kansas,florida-state,louisville,virginia-tech,minnesota,oregon,ucla,saint-louis,illinois,usc
7914,2020,11,marcus-fuller,gonzaga,baylor,villanova,michigan,houston,texas,iowa,ohio-state,virginia-tech,virginia,oklahoma,alabama,west-virginia,texas-tech,missouri,creighton,tennessee,illinois,wisconsin,florida-state,florida,kansas,ucla,oregon,usc
