,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
12,41,1110,H,villanova,75,-15000,0.9933774834437086,1,W,1284,9.0,6.0,8.0,7.0,5.0,7.0,6.0,5.0,5.0,5.0,6.0,5.0,7.0,3.0,8.0,8.0,4.0,2.0,9.0,6.0,8.0,3.0,6.0,5.0,9.0,6.0,8.0,7.0,7.0,6.0,6.0,9.0,7.0,8.0,7.0,7.0,5.0,6.0,4.0,5.0,7.0,8.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,9.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,8.0,5.0,,
81,307,1114,H,villanova,113,-48000,0.997920997920998,1,W,1284,9.0,6.0,8.0,7.0,5.0,7.0,6.0,5.0,5.0,5.0,6.0,5.0,7.0,3.0,8.0,8.0,4.0,2.0,9.0,6.0,8.0,3.0,6.0,5.0,9.0,6.0,8.0,7.0,7.0,6.0,6.0,9.0,7.0,8.0,7.0,7.0,5.0,6.0,4.0,5.0,7.0,8.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,9.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,8.0,5.0,,
33,115,1110,H,kentucky,73,-4000,0.975609756097561,1,W,1340,5.0,5.0,7.0,5.0,7.0,6.0,4.0,7.0,6.0,3.0,8.0,6.0,5.0,7.0,7.0,5.0,2.0,7.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,8.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0,5.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,7.0,7.0,5.0,4.0,5.0,6.0,4.0,4.0,,
49,187,1112,H,kentucky,73,-1000,0.9090909090909091,1,W,1340,5.0,5.0,7.0,5.0,7.0,6.0,4.0,7.0,6.0,3.0,8.0,6.0,5.0,7.0,7.0,5.0,2.0,7.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,8.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0,5.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,7.0,7.0,5.0,4.0,5.0,6.0,4.0,4.0,,
79,291,1114,N,kentucky,61,185,0.3508771929824561,1,L,1340,5.0,5.0,7.0,5.0,7.0,6.0,4.0,7.0,6.0,3.0,8.0,6.0,5.0,7.0,7.0,5.0,2.0,7.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,8.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0,5.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,7.0,7.0,5.0,4.0,5.0,6.0,4.0,4.0,,
27,97,1110,H,kansas,92,-16500,0.9939759036144579,1,W,1439,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,8.0,4.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,6.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,8.0,5.0,3.0,3.0,7.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,8.0,5.0,3.0,,
78,290,1114,N,kansas,65,-230,0.696969696969697,1,W,1439,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,8.0,4.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,6.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,8.0,5.0,3.0,3.0,7.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,8.0,5.0,3.0,,
26,95,1110,H,arizona,101,NL,0.5,1,W,1506,1.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,4.0,6.0,5.0,2.0,1.0,4.0,3.0,1.0,1.0,9.0,1.0,3.0,3.0,7.0,1.0,2.0,2.0,2.0,1.0,6.0,3.0,7.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,6.0,7.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,6.0,,
51,191,1112,H,arizona,103,-17500,0.9943181818181818,1,W,1506,1.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,4.0,6.0,5.0,2.0,1.0,4.0,3.0,1.0,1.0,9.0,1.0,3.0,3.0,7.0,1.0,2.0,2.0,2.0,1.0,6.0,3.0,7.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,6.0,7.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,6.0,,
34,117,1110,H,michigan-state,98,-42000,0.997624703087886,1,W,1520,3.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,6.0,1.0,2.0,3.0,8.0,3.0,2.0,1.0,6.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,6.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,,
