,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
51,217,1114,H,connecticut,61,-1100,0.9166666666666666,2,L,9,,,25.0,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,285,1114,H,ohio-state,69,NL,0.5,2,W,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
97,391,1117,H,ohio-state,72,-270,0.7297297297297297,2,W,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
103,402,1117,V,connecticut,65,-260,0.7222222222222222,2,W,9,,,25.0,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
107,415,1117,N,oklahoma,89,-1500,0.9375,2,W,11,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,23.0,,,,,,,24.0,,,,,,,,,,,,,,,,,
121,467,1118,N,oklahoma,67,-280,0.7368421052631579,2,L,11,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,23.0,,,,,,,24.0,,,,,,,,,,,,,,,,,
147,607,1120,N,oklahoma,70,110,0.47619047619047616,2,W,11,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,23.0,,,,,,,24.0,,,,,,,,,,,,,,,,,
138,569,1119,H,virginia-tech,88,-4750,0.979381443298969,2,W,21,,,,,,,,,,,,,24.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,23.0,,24.0,,18.0
88,349,1116,H,butler,70,-350,0.7777777777777778,2,W,26,,,,24.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,24.0,,,,
90,353,1116,H,wichita-state,80,-5800,0.9830508474576272,2,W,37,,25.0,,,,,,,,,,,,,,,,,,,,,,22.0,25.0,22.0,,,24.0,,,,,,,,,23.0,,,,,,,,,25.0,,,,,,25.0,,,,,,,17.0,,25.0,,22.0,20.0
