,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,chris-basnett,jessica-benson,mark-berman,sam-blum,dave-borges,rick-bozich,tom-bragg,kevin-brockway,lauren-brownlow,joe-buettner,jeff-call,jerry-carino,christina-chambers,david-cloninger,james-crepea,rob-dauster,seth-davis,luke-decock,donna-ditota,doug-doughty,jack-ebling,wayne-epps,john-feinstein,marcus-fuller,geoff-grammer,adam-grosbard,jordan-hansen,steve-hewitt,brian-holland,bob-holt,cecil-hurt,joe-juliano,lauren-kirschman,paul-klee,zach-klein,joey-knight,chad-leistikow,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,stephen-means,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,bruce-pascoe,dave-preston,troy-provostheron,jeff-rabjohns,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,ben-steele,nick-suss,bob-sutton,edgar-thompson,terry-toohey,dick-vitale,ken-weinman,john-werner,jon-wilner,scott-wolf
76,288,1108,V,baylor,64,-220,0.6875,1,L,523,16.0,17.0,14.0,18.0,13.0,12.0,14.0,15.0,14.0,23.0,15.0,18.0,23.0,19.0,17.0,20.0,24.0,11.0,11.0,23.0,,14.0,,18.0,23.0,25.0,19.0,21.0,19.0,14.0,21.0,16.0,25.0,22.0,16.0,17.0,11.0,18.0,16.0,18.0,,16.0,17.0,16.0,17.0,14.0,16.0,15.0,13.0,21.0,23.0,16.0,14.0,19.0,17.0,18.0,18.0,,13.0,16.0,22.0,18.0,16.0,20.0,18.0
13,69,1105,H,oregon,71,-1400,0.9333333333333333,1,W,742,15.0,25.0,15.0,10.0,,,12.0,18.0,9.0,15.0,17.0,17.0,12.0,14.0,11.0,12.0,17.0,18.0,9.0,13.0,14.0,16.0,17.0,9.0,9.0,9.0,15.0,14.0,10.0,,12.0,24.0,18.0,14.0,12.0,16.0,13.0,15.0,14.0,10.0,17.0,9.0,8.0,15.0,15.0,21.0,15.0,17.0,17.0,17.0,14.0,17.0,8.0,16.0,11.0,14.0,7.0,11.0,25.0,13.0,18.0,11.0,13.0,10.0,11.0
105,415,1109,H,oregon,106,-700,0.875,1,W,742,15.0,25.0,15.0,10.0,,,12.0,18.0,9.0,15.0,17.0,17.0,12.0,14.0,11.0,12.0,17.0,18.0,9.0,13.0,14.0,16.0,17.0,9.0,9.0,9.0,15.0,14.0,10.0,,12.0,24.0,18.0,14.0,12.0,16.0,13.0,15.0,14.0,10.0,17.0,9.0,8.0,15.0,15.0,21.0,15.0,17.0,17.0,17.0,14.0,17.0,8.0,16.0,11.0,14.0,7.0,11.0,25.0,13.0,18.0,11.0,13.0,10.0,11.0
9,51,1105,H,texas-tech,85,-5000,0.9803921568627451,1,W,837,12.0,12.0,18.0,16.0,8.0,13.0,18.0,13.0,13.0,11.0,16.0,16.0,11.0,13.0,10.0,11.0,21.0,,14.0,11.0,13.0,10.0,13.0,16.0,13.0,15.0,10.0,13.0,18.0,13.0,15.0,12.0,10.0,13.0,13.0,11.0,17.0,8.0,5.0,12.0,14.0,12.0,15.0,14.0,12.0,15.0,10.0,10.0,12.0,12.0,13.0,12.0,12.0,14.0,12.0,13.0,14.0,13.0,16.0,11.0,14.0,16.0,9.0,17.0,8.0
115,473,1109,H,texas-tech,79,-21500,0.9953703703703703,1,W,837,12.0,12.0,18.0,16.0,8.0,13.0,18.0,13.0,13.0,11.0,16.0,16.0,11.0,13.0,10.0,11.0,21.0,,14.0,11.0,13.0,10.0,13.0,16.0,13.0,15.0,10.0,13.0,18.0,13.0,15.0,12.0,10.0,13.0,13.0,11.0,17.0,8.0,5.0,12.0,14.0,12.0,15.0,14.0,12.0,15.0,10.0,10.0,12.0,12.0,13.0,12.0,12.0,14.0,12.0,13.0,14.0,13.0,16.0,11.0,14.0,16.0,9.0,17.0,8.0
23,95,1105,H,seton-hall,105,-19000,0.9947643979057592,1,W,863,8.0,13.0,11.0,9.0,12.0,14.0,10.0,11.0,17.0,9.0,12.0,12.0,16.0,7.0,16.0,13.0,12.0,17.0,13.0,14.0,11.0,13.0,16.0,14.0,17.0,13.0,12.0,15.0,12.0,12.0,13.0,13.0,13.0,12.0,10.0,12.0,10.0,14.0,13.0,15.0,10.0,20.0,10.0,12.0,13.0,16.0,17.0,12.0,10.0,9.0,12.0,10.0,13.0,17.0,14.0,12.0,13.0,7.0,11.0,12.0,15.0,13.0,14.0,14.0,15.0
109,439,1109,H,seton-hall,74,-6000,0.9836065573770492,1,W,863,8.0,13.0,11.0,9.0,12.0,14.0,10.0,11.0,17.0,9.0,12.0,12.0,16.0,7.0,16.0,13.0,12.0,17.0,13.0,14.0,11.0,13.0,16.0,14.0,17.0,13.0,12.0,15.0,12.0,12.0,13.0,13.0,13.0,12.0,10.0,12.0,10.0,14.0,13.0,15.0,10.0,20.0,10.0,12.0,13.0,16.0,17.0,12.0,10.0,9.0,12.0,10.0,13.0,17.0,14.0,12.0,13.0,7.0,11.0,12.0,15.0,13.0,14.0,14.0,15.0
50,200,1106,V,virginia,48,-180,0.6428571428571429,1,W,1007,9.0,11.0,6.0,5.0,16.0,10.0,11.0,9.0,10.0,7.0,9.0,10.0,10.0,10.0,13.0,10.0,8.0,22.0,6.0,9.0,9.0,11.0,8.0,15.0,12.0,14.0,11.0,12.0,14.0,11.0,8.0,8.0,9.0,11.0,11.0,13.0,15.0,9.0,10.0,5.0,7.0,14.0,12.0,9.0,8.0,9.0,14.0,13.0,11.0,14.0,9.0,13.0,10.0,10.0,10.0,10.0,15.0,12.0,15.0,10.0,10.0,8.0,7.0,7.0,9.0
121,501,1110,H,virginia,65,-12500,0.9920634920634921,1,W,1007,9.0,11.0,6.0,5.0,16.0,10.0,11.0,9.0,10.0,7.0,9.0,10.0,10.0,10.0,13.0,10.0,8.0,22.0,6.0,9.0,9.0,11.0,8.0,15.0,12.0,14.0,11.0,12.0,14.0,11.0,8.0,8.0,9.0,11.0,11.0,13.0,15.0,9.0,10.0,5.0,7.0,14.0,12.0,9.0,8.0,9.0,14.0,13.0,11.0,14.0,9.0,13.0,10.0,10.0,10.0,10.0,15.0,12.0,15.0,10.0,10.0,8.0,7.0,7.0,9.0
36,163,1105,H,villanova,97,-6000,0.9836065573770492,1,W,1048,11.0,14.0,12.0,13.0,11.0,11.0,4.0,8.0,8.0,13.0,13.0,13.0,5.0,9.0,7.0,5.0,9.0,14.0,10.0,8.0,8.0,12.0,10.0,11.0,8.0,10.0,7.0,11.0,11.0,10.0,11.0,11.0,8.0,5.0,9.0,6.0,7.0,16.0,12.0,13.0,15.0,11.0,14.0,7.0,3.0,10.0,12.0,8.0,14.0,11.0,7.0,15.0,11.0,7.0,6.0,15.0,10.0,14.0,9.0,14.0,12.0,9.0,5.0,4.0,5.0
