,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,kayla-anderson,john-bednarowski,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,tom-bragg,lauren-brownlow,jeff-call,jerry-carino,david-cloninger,mark-cooper,graham-couch,james-crepea,richard-croome,seth-davis,luke-decock,donna-ditota,john-feinstein,marcus-fuller,scott-gleeson,geoff-grammer,steve-hewitt,drew-hill,brian-holland,bob-holt,cecil-hurt,terry-hutchens,joe-juliano,paul-klee,joey-knight,theo-lawson,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,bruce-pascoe,dave-preston,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,damien-sordelett,ben-steele,edgar-thompson,terry-toohey,dick-vitale,josh-vitale,ken-weinman,john-werner,tj-werre,brant-wilkerson,jon-wilner,scott-wolf,norm-wood
27,81,1106,H,ucla,96,-850,0.8947368421052632,1,W,297,,22.0,18.0,23.0,21.0,,20.0,,24.0,24.0,,,,23.0,,23.0,17.0,,,19.0,23.0,,15.0,21.0,,16.0,18.0,22.0,19.0,18.0,19.0,18.0,22.0,24.0,,17.0,24.0,18.0,20.0,19.0,,,18.0,,18.0,20.0,20.0,17.0,21.0,,17.0,17.0,,18.0,22.0,15.0,18.0,24.0,24.0,17.0,18.0,25.0,12.0,,17.0
77,281,1109,H,ucla,91,-1500,0.9375,1,W,297,,22.0,18.0,23.0,21.0,,20.0,,24.0,24.0,,,,23.0,,23.0,17.0,,,19.0,23.0,,15.0,21.0,,16.0,18.0,22.0,19.0,18.0,19.0,18.0,22.0,24.0,,17.0,24.0,18.0,20.0,19.0,,,18.0,,18.0,20.0,20.0,17.0,21.0,,17.0,17.0,,18.0,22.0,15.0,18.0,24.0,24.0,17.0,18.0,25.0,12.0,,17.0
55,207,1107,H,tcu,66,-2650,0.9636363636363636,1,W,311,16.0,17.0,22.0,22.0,23.0,,21.0,19.0,13.0,16.0,18.0,22.0,,,21.0,21.0,15.0,,18.0,15.0,22.0,19.0,21.0,22.0,23.0,,25.0,15.0,17.0,21.0,,23.0,14.0,18.0,20.0,,16.0,,14.0,21.0,19.0,,,,,18.0,24.0,19.0,,17.0,,18.0,20.0,19.0,21.0,24.0,17.0,,,21.0,17.0,,,,21.0
125,501,1111,H,tcu,79,-4750,0.979381443298969,1,W,311,16.0,17.0,22.0,22.0,23.0,,21.0,19.0,13.0,16.0,18.0,22.0,,,21.0,21.0,15.0,,18.0,15.0,22.0,19.0,21.0,22.0,23.0,,25.0,15.0,17.0,21.0,,23.0,14.0,18.0,20.0,,16.0,,14.0,21.0,19.0,,,,,18.0,24.0,19.0,,17.0,,18.0,20.0,19.0,21.0,24.0,17.0,,,21.0,17.0,,,,21.0
45,171,1106,H,michigan,63,-21500,0.9953703703703703,1,W,437,14.0,20.0,16.0,24.0,22.0,21.0,13.0,18.0,11.0,21.0,19.0,20.0,15.0,19.0,17.0,20.0,,18.0,19.0,12.0,18.0,21.0,12.0,20.0,21.0,20.0,17.0,18.0,21.0,15.0,14.0,19.0,24.0,12.0,12.0,21.0,18.0,24.0,22.0,14.0,16.0,23.0,20.0,19.0,23.0,19.0,21.0,22.0,19.0,,18.0,19.0,18.0,25.0,25.0,19.0,20.0,25.0,20.0,23.0,,,19.0,16.0,18.0
111,463,1110,H,michigan,56,-5000,0.9803921568627451,1,W,437,14.0,20.0,16.0,24.0,22.0,21.0,13.0,18.0,11.0,21.0,19.0,20.0,15.0,19.0,17.0,20.0,,18.0,19.0,12.0,18.0,21.0,12.0,20.0,21.0,20.0,17.0,18.0,21.0,15.0,14.0,19.0,24.0,12.0,12.0,21.0,18.0,24.0,22.0,14.0,16.0,23.0,20.0,19.0,23.0,19.0,21.0,22.0,19.0,,18.0,19.0,18.0,25.0,25.0,19.0,20.0,25.0,20.0,23.0,,,19.0,16.0,18.0
11,29,1106,H,florida-state,81,-220,0.6875,1,W,530,18.0,15.0,20.0,21.0,18.0,14.0,19.0,,17.0,19.0,14.0,15.0,21.0,16.0,14.0,18.0,,22.0,15.0,16.0,21.0,17.0,20.0,18.0,13.0,19.0,22.0,24.0,14.0,19.0,13.0,16.0,11.0,16.0,19.0,18.0,14.0,25.0,,15.0,14.0,20.0,15.0,11.0,14.0,15.0,12.0,13.0,16.0,15.0,20.0,15.0,21.0,,18.0,14.0,21.0,18.0,14.0,,14.0,16.0,,,16.0
118,486,1111,V,florida-state,80,-1400,0.9333333333333333,1,W,530,18.0,15.0,20.0,21.0,18.0,14.0,19.0,,17.0,19.0,14.0,15.0,21.0,16.0,14.0,18.0,,22.0,15.0,16.0,21.0,17.0,20.0,18.0,13.0,19.0,22.0,24.0,14.0,19.0,13.0,16.0,11.0,16.0,19.0,18.0,14.0,25.0,,15.0,14.0,20.0,15.0,11.0,14.0,15.0,12.0,13.0,16.0,15.0,20.0,15.0,21.0,,18.0,14.0,21.0,18.0,14.0,,14.0,16.0,,,16.0
21,57,1106,H,syracuse,66,-3000,0.967741935483871,1,W,620,22.0,13.0,12.0,14.0,19.0,9.0,18.0,,22.0,17.0,21.0,18.0,16.0,14.0,15.0,17.0,12.0,14.0,12.0,13.0,16.0,25.0,18.0,14.0,22.0,17.0,20.0,19.0,18.0,17.0,17.0,13.0,21.0,21.0,21.0,14.0,13.0,11.0,18.0,23.0,21.0,12.0,13.0,18.0,13.0,17.0,10.0,21.0,14.0,14.0,13.0,21.0,13.0,23.0,13.0,21.0,12.0,12.0,13.0,11.0,23.0,12.0,10.0,19.0,19.0
102,397,1110,H,syracuse,84,-5500,0.9821428571428571,1,W,620,22.0,13.0,12.0,14.0,19.0,9.0,18.0,,22.0,17.0,21.0,18.0,16.0,14.0,15.0,17.0,12.0,14.0,12.0,13.0,16.0,25.0,18.0,14.0,22.0,17.0,20.0,19.0,18.0,17.0,17.0,13.0,21.0,21.0,21.0,14.0,13.0,11.0,18.0,23.0,21.0,12.0,13.0,18.0,13.0,17.0,10.0,21.0,14.0,14.0,13.0,21.0,13.0,23.0,13.0,21.0,12.0,12.0,13.0,11.0,23.0,12.0,10.0,19.0,19.0
