,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,kayla-anderson,john-bednarowski,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,tom-bragg,lauren-brownlow,jeff-call,jerry-carino,david-cloninger,mark-cooper,graham-couch,james-crepea,richard-croome,seth-davis,luke-decock,donna-ditota,john-feinstein,marcus-fuller,scott-gleeson,geoff-grammer,steve-hewitt,drew-hill,brian-holland,bob-holt,cecil-hurt,terry-hutchens,joe-juliano,paul-klee,joey-knight,theo-lawson,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,bruce-pascoe,dave-preston,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,damien-sordelett,ben-steele,edgar-thompson,terry-toohey,dick-vitale,josh-vitale,ken-weinman,john-werner,tj-werre,brant-wilkerson,jon-wilner,scott-wolf,norm-wood
1999,8948,223,V,tennessee,80,-190,0.6551724137931034,16,L,1376,5.0,4.0,2.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,,4.0,6.0,3.0,4.0,8.0,4.0,2.0,6.0,5.0,4.0,5.0,2.0,7.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,6.0,4.0,4.0
1944,8694,219,V,kentucky,66,-700,0.875,16,W,1383,3.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,,3.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,4.0,6.0,4.0,5.0,5.0,2.0,5.0,4.0,6.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,9.0,4.0,4.0,6.0,5.0,6.0,5.0
2002,8955,223,H,kentucky,80,-400,0.8,16,W,1383,3.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,,3.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,4.0,6.0,4.0,5.0,5.0,2.0,5.0,4.0,6.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,9.0,4.0,4.0,6.0,5.0,6.0,5.0
1923,8634,218,V,virginia,64,-270,0.7297297297297297,16,W,1476,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,,5.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0
1994,8942,223,V,virginia,64,-220,0.6875,16,W,1476,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,,5.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0
1975,8823,221,H,gonzaga,92,-20000,0.9950248756218906,16,W,1502,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,,2.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,3.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0
2037,9079,223,H,gonzaga,102,-3750,0.974025974025974,16,W,1502,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,,2.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,3.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0
1961,8745,220,H,duke,72,-550,0.8461538461538461,16,L,1594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
2029,9042,223,V,duke,75,-230,0.696969696969697,16,W,1594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
2131,9548,228,V,new-mexico-state,75,-420,0.8076923076923077,17,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
2191,9804,302,V,new-mexico-state,92,-8500,0.9883720930232558,17,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
2125,9506,228,V,old-dominion,65,-130,0.5652173913043478,17,W,2,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,9379,227,H,baylor,84,-190,0.6551724137931034,17,W,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,23.0,,,,
2179,9718,302,V,baylor,60,240,0.29411764705882354,17,L,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,23.0,,,,
2103,9386,227,V,auburn,78,-350,0.7777777777777778,17,W,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2168,9661,302,H,auburn,80,-240,0.7058823529411765,17,W,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2063,9267,225,H,iowa-state,78,-380,0.7916666666666666,17,W,58,,,,,24.0,24.0,,22.0,,,,,,,,,,,22.0,,,,23.0,,,22.0,,,,,,23.0,,,25.0,,,,,,20.0,14.0,,20.0,,18.0,,,24.0,,,,,,,25.0,,,,,,,,,
2151,9632,302,V,iowa-state,69,-115,0.5348837209302325,17,L,58,,,,,24.0,24.0,,22.0,,,,,,,,,,,22.0,,,,23.0,,,22.0,,,,,,23.0,,,25.0,,,,,,20.0,14.0,,20.0,,18.0,,,24.0,,,,,,,25.0,,,,,,,,,
2108,9393,227,H,villanova,67,-260,0.7222222222222222,17,W,63,,24.0,24.0,,22.0,,,23.0,,,,22.0,,22.0,,25.0,,,,,20.0,,,,,,25.0,21.0,,,,,24.0,21.0,,25.0,,23.0,,,,,,,22.0,,24.0,,21.0,,,,,,,,24.0,,25.0,,,,20.0,,
2157,9641,302,H,villanova,75,-400,0.8,17,W,63,,24.0,24.0,,22.0,,,23.0,,,,22.0,,22.0,,25.0,,,,,20.0,,,,,,25.0,21.0,,,,,24.0,21.0,,25.0,,23.0,,,,,,,22.0,,24.0,,21.0,,,,,,,,24.0,,25.0,,,,20.0,,
2104,9388,227,V,louisville,59,-220,0.6875,17,L,90,25.0,,,22.0,,,25.0,,,22.0,25.0,,22.0,19.0,,,22.0,,,,,19.0,,24.0,22.0,24.0,,25.0,,,,,,,23.0,,23.0,,25.0,,,22.0,22.0,21.0,23.0,,,20.0,,21.0,22.0,,,25.0,,,,,,,,25.0,22.0,24.0,24.0
2194,9871,303,H,louisville,75,-425,0.8095238095238095,17,W,90,25.0,,,22.0,,,25.0,,,22.0,25.0,,22.0,19.0,,,22.0,,,,,19.0,,24.0,22.0,24.0,,25.0,,,,,,,23.0,,23.0,,25.0,,,22.0,22.0,21.0,23.0,,,20.0,,21.0,22.0,,,25.0,,,,,,,,25.0,22.0,24.0,24.0
2127,9512,228,V,wofford,80,-1300,0.9285714285714286,17,W,112,24.0,,25.0,17.0,25.0,25.0,23.0,25.0,23.0,25.0,24.0,24.0,21.0,,22.0,,24.0,17.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,,,,,24.0,25.0,25.0,,25.0,,,21.0,25.0,,25.0,25.0,,25.0,,,,25.0,25.0,,25.0,,24.0,16.0,24.0,,22.0,25.0,25.0,24.0,24.0,24.0,16.0,,25.0,22.0
2187,9750,302,V,wofford,85,-450,0.8181818181818182,17,W,112,24.0,,25.0,17.0,25.0,25.0,23.0,25.0,23.0,25.0,24.0,24.0,21.0,,22.0,,24.0,17.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,,,,,24.0,25.0,25.0,,25.0,,,21.0,25.0,,25.0,25.0,,25.0,,,,25.0,25.0,,25.0,,24.0,16.0,24.0,,22.0,25.0,25.0,24.0,24.0,24.0,16.0,,25.0,22.0
2106,9390,227,V,cincinnati,52,-185,0.6491228070175439,17,W,263,22.0,21.0,21.0,20.0,,20.0,18.0,20.0,24.0,20.0,23.0,19.0,24.0,25.0,25.0,21.0,17.0,25.0,23.0,18.0,24.0,21.0,,23.0,23.0,18.0,23.0,23.0,,22.0,21.0,20.0,,20.0,20.0,21.0,17.0,19.0,23.0,23.0,23.0,,20.0,,,25.0,23.0,23.0,23.0,20.0,21.0,23.0,23.0,22.0,21.0,21.0,20.0,22.0,23.0,23.0,25.0,20.0,17.0,20.0,20.0
2178,9715,302,H,cincinnati,71,-550,0.8461538461538461,17,W,263,22.0,21.0,21.0,20.0,,20.0,18.0,20.0,24.0,20.0,23.0,19.0,24.0,25.0,25.0,21.0,17.0,25.0,23.0,18.0,24.0,21.0,,23.0,23.0,18.0,23.0,23.0,,22.0,21.0,20.0,,20.0,20.0,21.0,17.0,19.0,23.0,23.0,23.0,,20.0,,,25.0,23.0,23.0,23.0,20.0,21.0,23.0,23.0,22.0,21.0,21.0,20.0,22.0,23.0,23.0,25.0,20.0,17.0,20.0,20.0
2070,9300,226,V,iowa,70,145,0.40816326530612246,17,L,278,21.0,23.0,22.0,23.0,18.0,22.0,20.0,21.0,18.0,23.0,21.0,23.0,20.0,21.0,24.0,22.0,19.0,18.0,,,22.0,22.0,21.0,22.0,17.0,,22.0,20.0,,21.0,23.0,22.0,25.0,23.0,24.0,20.0,24.0,,17.0,22.0,21.0,,23.0,25.0,17.0,17.0,22.0,16.0,20.0,,23.0,22.0,24.0,17.0,24.0,23.0,19.0,21.0,21.0,21.0,18.0,24.0,25.0,16.0,25.0
2173,9687,302,H,iowa,72,-425,0.8095238095238095,17,L,278,21.0,23.0,22.0,23.0,18.0,22.0,20.0,21.0,18.0,23.0,21.0,23.0,20.0,21.0,24.0,22.0,19.0,18.0,,,22.0,22.0,21.0,22.0,17.0,,22.0,20.0,,21.0,23.0,22.0,25.0,23.0,24.0,20.0,24.0,,17.0,22.0,21.0,,23.0,25.0,17.0,17.0,22.0,16.0,20.0,,23.0,22.0,24.0,17.0,24.0,23.0,19.0,21.0,21.0,21.0,18.0,24.0,25.0,16.0,25.0
2068,9293,226,H,buffalo,77,-1600,0.9411764705882353,17,W,288,19.0,22.0,17.0,25.0,20.0,18.0,19.0,24.0,21.0,24.0,22.0,18.0,23.0,13.0,21.0,24.0,25.0,15.0,20.0,13.0,23.0,25.0,22.0,18.0,24.0,23.0,21.0,24.0,,23.0,22.0,21.0,16.0,14.0,,23.0,25.0,22.0,24.0,20.0,22.0,24.0,24.0,23.0,24.0,23.0,21.0,24.0,,23.0,24.0,17.0,14.0,23.0,22.0,20.0,,24.0,22.0,22.0,20.0,22.0,23.0,23.0,21.0
2134,9584,301,V,buffalo,77,-420,0.8076923076923077,17,W,288,19.0,22.0,17.0,25.0,20.0,18.0,19.0,24.0,21.0,24.0,22.0,18.0,23.0,13.0,21.0,24.0,25.0,15.0,20.0,13.0,23.0,25.0,22.0,18.0,24.0,23.0,21.0,24.0,,23.0,22.0,21.0,16.0,14.0,,23.0,25.0,22.0,24.0,20.0,22.0,24.0,24.0,23.0,24.0,23.0,21.0,24.0,,23.0,24.0,17.0,14.0,23.0,22.0,20.0,,24.0,22.0,22.0,20.0,22.0,23.0,23.0,21.0
2084,9325,226,H,virginia-tech,77,135,0.425531914893617,17,W,392,,20.0,15.0,24.0,23.0,23.0,,18.0,22.0,21.0,20.0,21.0,25.0,20.0,18.0,17.0,,22.0,21.0,17.0,18.0,23.0,18.0,21.0,20.0,15.0,20.0,16.0,,20.0,19.0,17.0,19.0,,14.0,19.0,,24.0,21.0,21.0,16.0,11.0,,22.0,19.0,16.0,16.0,21.0,15.0,22.0,13.0,16.0,21.0,21.0,17.0,19.0,15.0,18.0,20.0,19.0,,21.0,15.0,19.0,
2082,9322,226,V,wisconsin,73,-145,0.5918367346938775,17,L,466,16.0,16.0,19.0,18.0,17.0,,21.0,,20.0,19.0,19.0,16.0,15.0,16.0,13.0,20.0,16.0,14.0,17.0,23.0,15.0,17.0,15.0,17.0,18.0,17.0,19.0,22.0,,17.0,18.0,24.0,22.0,18.0,15.0,22.0,18.0,21.0,19.0,17.0,,12.0,15.0,24.0,15.0,20.0,,18.0,25.0,17.0,20.0,20.0,22.0,19.0,,17.0,16.0,15.0,15.0,17.0,19.0,18.0,24.0,17.0,17.0
2146,9621,302,H,wisconsin,61,-285,0.7402597402597403,17,W,466,16.0,16.0,19.0,18.0,17.0,,21.0,,20.0,19.0,19.0,16.0,15.0,16.0,13.0,20.0,16.0,14.0,17.0,23.0,15.0,17.0,15.0,17.0,18.0,17.0,19.0,22.0,,17.0,18.0,24.0,22.0,18.0,15.0,22.0,18.0,21.0,19.0,17.0,,12.0,15.0,24.0,15.0,20.0,,18.0,25.0,17.0,20.0,20.0,22.0,19.0,,17.0,16.0,15.0,15.0,17.0,19.0,18.0,24.0,17.0,17.0
2061,9265,225,H,florida-state,68,-900,0.9,17,W,501,20.0,18.0,23.0,21.0,19.0,15.0,15.0,17.0,15.0,15.0,16.0,25.0,19.0,23.0,19.0,16.0,21.0,21.0,15.0,21.0,16.0,20.0,20.0,16.0,21.0,19.0,15.0,17.0,,16.0,20.0,19.0,14.0,13.0,21.0,16.0,19.0,17.0,18.0,18.0,18.0,17.0,19.0,14.0,21.0,22.0,18.0,22.0,22.0,15.0,18.0,14.0,20.0,16.0,16.0,24.0,18.0,19.0,19.0,20.0,16.0,19.0,7.0,21.0,19.0
2143,9611,302,H,florida-state,78,-330,0.7674418604651163,17,W,501,20.0,18.0,23.0,21.0,19.0,15.0,15.0,17.0,15.0,15.0,16.0,25.0,19.0,23.0,19.0,16.0,21.0,21.0,15.0,21.0,16.0,20.0,20.0,16.0,21.0,19.0,15.0,17.0,,16.0,20.0,19.0,14.0,13.0,21.0,16.0,19.0,17.0,18.0,18.0,18.0,17.0,19.0,14.0,21.0,22.0,18.0,22.0,22.0,15.0,18.0,14.0,20.0,16.0,16.0,24.0,18.0,19.0,19.0,20.0,16.0,19.0,7.0,21.0,19.0
2092,9344,227,V,maryland,61,-120,0.5454545454545454,17,L,549,18.0,19.0,18.0,19.0,16.0,17.0,17.0,16.0,16.0,18.0,17.0,15.0,17.0,18.0,16.0,19.0,14.0,20.0,18.0,19.0,19.0,18.0,17.0,19.0,15.0,21.0,17.0,18.0,,18.0,16.0,15.0,18.0,15.0,16.0,18.0,16.0,16.0,16.0,19.0,19.0,18.0,17.0,18.0,16.0,21.0,17.0,15.0,18.0,19.0,12.0,21.0,19.0,15.0,19.0,16.0,17.0,16.0,18.0,18.0,17.0,23.0,21.0,15.0,16.0
2199,9879,303,H,maryland,62,-119,0.54337899543379,17,L,549,18.0,19.0,18.0,19.0,16.0,17.0,17.0,16.0,16.0,18.0,17.0,15.0,17.0,18.0,16.0,19.0,14.0,20.0,18.0,19.0,19.0,18.0,17.0,19.0,15.0,21.0,17.0,18.0,,18.0,16.0,15.0,18.0,15.0,16.0,18.0,16.0,16.0,16.0,19.0,19.0,18.0,17.0,18.0,16.0,21.0,17.0,15.0,18.0,19.0,12.0,21.0,19.0,15.0,19.0,16.0,17.0,16.0,18.0,18.0,17.0,23.0,21.0,15.0,16.0
2064,9268,225,V,kansas-state,49,175,0.36363636363636365,17,L,559,17.0,17.0,16.0,14.0,21.0,13.0,22.0,14.0,17.0,17.0,18.0,20.0,16.0,24.0,14.0,18.0,13.0,23.0,14.0,15.0,21.0,15.0,16.0,20.0,19.0,20.0,16.0,19.0,,19.0,15.0,16.0,20.0,22.0,18.0,15.0,14.0,14.0,20.0,16.0,17.0,21.0,16.0,16.0,20.0,15.0,13.0,19.0,16.0,18.0,19.0,18.0,18.0,18.0,14.0,15.0,23.0,17.0,17.0,16.0,12.0,15.0,18.0,22.0,14.0
2180,9719,302,H,kansas-state,66,-300,0.75,17,W,559,17.0,17.0,16.0,14.0,21.0,13.0,22.0,14.0,17.0,17.0,18.0,20.0,16.0,24.0,14.0,18.0,13.0,23.0,14.0,15.0,21.0,15.0,16.0,20.0,19.0,20.0,16.0,19.0,,19.0,15.0,16.0,20.0,22.0,18.0,15.0,14.0,14.0,20.0,16.0,17.0,21.0,16.0,16.0,20.0,15.0,13.0,19.0,16.0,18.0,19.0,18.0,18.0,18.0,14.0,15.0,23.0,17.0,17.0,16.0,12.0,15.0,18.0,22.0,14.0
2065,9269,225,H,kansas,64,-210,0.6774193548387096,17,W,580,14.0,15.0,20.0,16.0,14.0,19.0,16.0,15.0,19.0,16.0,15.0,14.0,18.0,14.0,20.0,15.0,23.0,13.0,19.0,20.0,14.0,14.0,19.0,15.0,16.0,16.0,18.0,15.0,,15.0,17.0,18.0,15.0,16.0,19.0,17.0,20.0,18.0,15.0,15.0,14.0,16.0,18.0,17.0,18.0,13.0,20.0,17.0,19.0,16.0,11.0,19.0,17.0,20.0,18.0,18.0,22.0,20.0,16.0,15.0,21.0,17.0,19.0,18.0,18.0
2140,9600,302,V,kansas,72,-300,0.75,17,W,580,14.0,15.0,20.0,16.0,14.0,19.0,16.0,15.0,19.0,16.0,15.0,14.0,18.0,14.0,20.0,15.0,23.0,13.0,19.0,20.0,14.0,14.0,19.0,15.0,16.0,16.0,18.0,15.0,,15.0,17.0,18.0,15.0,16.0,19.0,17.0,20.0,18.0,15.0,15.0,14.0,16.0,18.0,17.0,18.0,13.0,20.0,17.0,19.0,16.0,11.0,19.0,17.0,20.0,18.0,18.0,22.0,20.0,16.0,15.0,21.0,17.0,19.0,18.0,18.0
2098,9377,227,H,purdue,73,-1100,0.9166666666666666,17,W,820,13.0,14.0,14.0,13.0,15.0,16.0,13.0,19.0,13.0,11.0,12.0,17.0,11.0,15.0,12.0,14.0,8.0,11.0,12.0,16.0,13.0,16.0,14.0,14.0,13.0,13.0,14.0,10.0,,13.0,13.0,9.0,11.0,17.0,13.0,13.0,15.0,13.0,13.0,14.0,15.0,10.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,11.0,16.0,15.0,15.0,13.0,15.0,12.0,10.0,13.0,13.0,14.0,13.0,11.0,16.0,14.0,11.0
2155,9637,302,H,purdue,86,-900,0.9,17,W,820,13.0,14.0,14.0,13.0,15.0,16.0,13.0,19.0,13.0,11.0,12.0,17.0,11.0,15.0,12.0,14.0,8.0,11.0,12.0,16.0,13.0,16.0,14.0,14.0,13.0,13.0,14.0,10.0,,13.0,13.0,9.0,11.0,17.0,13.0,13.0,15.0,13.0,13.0,14.0,15.0,10.0,12.0,12.0,12.0,12.0,15.0,12.0,12.0,11.0,16.0,15.0,15.0,13.0,15.0,12.0,10.0,13.0,13.0,14.0,13.0,11.0,16.0,14.0,11.0
2087,9329,226,H,lsu,66,-650,0.8666666666666667,17,W,836,15.0,10.0,13.0,12.0,12.0,8.0,12.0,10.0,14.0,14.0,14.0,13.0,14.0,17.0,9.0,13.0,9.0,19.0,10.0,11.0,17.0,9.0,13.0,13.0,12.0,12.0,11.0,13.0,,14.0,10.0,13.0,17.0,19.0,12.0,14.0,12.0,9.0,10.0,13.0,12.0,23.0,9.0,15.0,14.0,19.0,12.0,13.0,13.0,13.0,17.0,11.0,13.0,12.0,13.0,13.0,14.0,12.0,14.0,11.0,8.0,14.0,13.0,13.0,15.0
2141,9602,302,V,lsu,74,-155,0.6078431372549019,17,W,836,15.0,10.0,13.0,12.0,12.0,8.0,12.0,10.0,14.0,14.0,14.0,13.0,14.0,17.0,9.0,13.0,9.0,19.0,10.0,11.0,17.0,9.0,13.0,13.0,12.0,12.0,11.0,13.0,,14.0,10.0,13.0,17.0,19.0,12.0,14.0,12.0,9.0,10.0,13.0,12.0,23.0,9.0,15.0,14.0,19.0,12.0,13.0,13.0,13.0,17.0,11.0,13.0,12.0,13.0,13.0,14.0,12.0,14.0,11.0,8.0,14.0,13.0,13.0,15.0
2109,9399,227,H,nevada,89,-2000,0.9523809523809523,17,W,883,10.0,13.0,6.0,15.0,13.0,12.0,14.0,12.0,6.0,13.0,13.0,11.0,13.0,8.0,17.0,12.0,15.0,16.0,16.0,14.0,12.0,12.0,12.0,12.0,14.0,8.0,13.0,14.0,,11.0,12.0,14.0,13.0,7.0,17.0,10.0,9.0,15.0,14.0,10.0,13.0,19.0,14.0,13.0,13.0,11.0,14.0,14.0,10.0,14.0,9.0,13.0,12.0,14.0,11.0,14.0,12.0,9.0,11.0,12.0,15.0,6.0,12.0,5.0,13.0
2181,9724,302,V,nevada,76,-140,0.5833333333333334,17,L,883,10.0,13.0,6.0,15.0,13.0,12.0,14.0,12.0,6.0,13.0,13.0,11.0,13.0,8.0,17.0,12.0,15.0,16.0,16.0,14.0,12.0,12.0,12.0,12.0,14.0,8.0,13.0,14.0,,11.0,12.0,14.0,13.0,7.0,17.0,10.0,9.0,15.0,14.0,10.0,13.0,19.0,14.0,13.0,13.0,11.0,14.0,14.0,10.0,14.0,9.0,13.0,12.0,14.0,11.0,14.0,12.0,9.0,11.0,12.0,15.0,6.0,12.0,5.0,13.0
2095,9355,227,H,texas-tech,84,-1600,0.9411764705882353,17,W,938,12.0,12.0,12.0,11.0,11.0,14.0,8.0,5.0,11.0,12.0,11.0,10.0,10.0,12.0,15.0,11.0,18.0,9.0,13.0,12.0,9.0,13.0,6.0,11.0,11.0,10.0,12.0,9.0,,12.0,11.0,12.0,12.0,11.0,11.0,12.0,13.0,11.0,12.0,12.0,11.0,7.0,13.0,10.0,10.0,9.0,8.0,11.0,14.0,12.0,15.0,12.0,10.0,11.0,12.0,10.0,13.0,14.0,12.0,9.0,14.0,12.0,14.0,12.0,12.0
2163,9654,302,V,texas-tech,81,-170,0.6296296296296297,17,W,938,12.0,12.0,12.0,11.0,11.0,14.0,8.0,5.0,11.0,12.0,11.0,10.0,10.0,12.0,15.0,11.0,18.0,9.0,13.0,12.0,9.0,13.0,6.0,11.0,11.0,10.0,12.0,9.0,,12.0,11.0,12.0,12.0,11.0,11.0,12.0,13.0,11.0,12.0,12.0,11.0,7.0,13.0,10.0,10.0,9.0,8.0,11.0,14.0,12.0,15.0,12.0,10.0,11.0,12.0,10.0,13.0,14.0,12.0,9.0,14.0,12.0,14.0,12.0,12.0
2107,9392,227,V,marquette,61,210,0.3225806451612903,17,L,1019,11.0,11.0,10.0,8.0,10.0,10.0,7.0,6.0,10.0,10.0,10.0,12.0,12.0,10.0,11.0,9.0,12.0,12.0,9.0,9.0,11.0,7.0,11.0,10.0,10.0,14.0,9.0,12.0,,9.0,14.0,11.0,10.0,8.0,8.0,9.0,11.0,7.0,11.0,11.0,10.0,20.0,11.0,11.0,8.0,14.0,7.0,10.0,6.0,10.0,8.0,9.0,11.0,10.0,8.0,9.0,11.0,10.0,9.0,13.0,10.0,10.0,9.0,10.0,9.0
2197,9877,303,H,marquette,60,-400,0.8,17,L,1019,11.0,11.0,10.0,8.0,10.0,10.0,7.0,6.0,10.0,10.0,10.0,12.0,12.0,10.0,11.0,9.0,12.0,12.0,9.0,9.0,11.0,7.0,11.0,10.0,10.0,14.0,9.0,12.0,,9.0,14.0,11.0,10.0,8.0,8.0,9.0,11.0,7.0,11.0,11.0,10.0,20.0,11.0,11.0,8.0,14.0,7.0,10.0,6.0,10.0,8.0,9.0,11.0,10.0,8.0,9.0,11.0,10.0,9.0,13.0,10.0,10.0,9.0,10.0,9.0
2113,9445,228,H,michigan,82,-800,0.8888888888888888,17,W,1057,9.0,9.0,11.0,10.0,8.0,11.0,10.0,13.0,12.0,8.0,7.0,8.0,7.0,9.0,8.0,10.0,10.0,7.0,8.0,10.0,8.0,11.0,9.0,9.0,8.0,9.0,10.0,8.0,,10.0,8.0,10.0,8.0,12.0,9.0,11.0,8.0,12.0,8.0,9.0,8.0,8.0,8.0,9.0,11.0,7.0,11.0,9.0,11.0,8.0,14.0,10.0,9.0,9.0,10.0,11.0,9.0,8.0,10.0,10.0,11.0,13.0,10.0,11.0,10.0
2198,9878,303,V,michigan,69,-101,0.5024875621890548,17,W,1057,9.0,9.0,11.0,10.0,8.0,11.0,10.0,13.0,12.0,8.0,7.0,8.0,7.0,9.0,8.0,10.0,10.0,7.0,8.0,10.0,8.0,11.0,9.0,9.0,8.0,9.0,10.0,8.0,,10.0,8.0,10.0,8.0,12.0,9.0,11.0,8.0,12.0,8.0,9.0,8.0,8.0,8.0,9.0,11.0,7.0,11.0,9.0,11.0,8.0,14.0,10.0,9.0,9.0,10.0,11.0,9.0,8.0,10.0,10.0,11.0,13.0,10.0,11.0,10.0
2096,9358,227,V,tennessee,73,-240,0.7058823529411765,17,W,1190,8.0,5.0,7.0,9.0,7.0,9.0,11.0,11.0,8.0,9.0,9.0,6.0,9.0,6.0,10.0,8.0,11.0,8.0,11.0,7.0,6.0,8.0,8.0,7.0,6.0,6.0,7.0,5.0,,6.0,7.0,6.0,6.0,10.0,7.0,5.0,10.0,6.0,7.0,7.0,4.0,9.0,10.0,5.0,6.0,5.0,10.0,6.0,5.0,9.0,6.0,7.0,6.0,8.0,9.0,8.0,6.0,6.0,6.0,8.0,6.0,7.0,6.0,9.0,8.0
