,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
51,217,1114,H,connecticut,61,-1100,0.9166666666666666,2,L,,,25.0,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
52,219,1114,H,louisville,91,-5000,0.9803921568627451,2,W,12.0,13.0,17.0,12.0,18.0,8.0,12.0,13.0,13.0,16.0,13.0,14.0,15.0,12.0,8.0,14.0,12.0,13.0,13.0,12.0,15.0,13.0,13.0,15.0,12.0,12.0,13.0,12.0,9.0,11.0,12.0,16.0,18.0,15.0,11.0,12.0,13.0,14.0,13.0,13.0,14.0,17.0,12.0,14.0,13.0,15.0,12.0,11.0,13.0,12.0,15.0,12.0,12.0,16.0,11.0,13.0,12.0,19.0,5.0,10.0,10.0,12.0,,25.0,
53,221,1114,H,xavier,86,-2000,0.9523809523809523,2,W,8.0,7.0,10.0,8.0,8.0,14.0,9.0,9.0,11.0,8.0,8.0,7.0,12.0,14.0,14.0,12.0,15.0,7.0,14.0,8.0,9.0,12.0,15.0,11.0,8.0,9.0,7.0,8.0,11.0,6.0,11.0,11.0,10.0,7.0,14.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,14.0,10.0,11.0,4.0,19.0,13.0,11.0,8.0,9.0,8.0,8.0,5.0,13.0,6.0,8.0,16.0,9.0,7.0,12.0,5.0,15.0,10.0,17.0
54,228,1114,V,villanova,79,-140,0.5833333333333334,2,W,1.0,3.0,2.0,3.0,7.0,2.0,3.0,2.0,3.0,6.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,7.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,5.0,4.0,1.0,1.0,5.0,6.0
55,229,1114,H,purdue,76,120,0.45454545454545453,2,L,15.0,17.0,18.0,13.0,23.0,12.0,15.0,14.0,16.0,14.0,15.0,13.0,13.0,15.0,15.0,,13.0,15.0,15.0,14.0,18.0,17.0,11.0,14.0,15.0,14.0,12.0,13.0,18.0,12.0,13.0,15.0,21.0,10.0,12.0,15.0,17.0,12.0,18.0,17.0,13.0,16.0,15.0,15.0,12.0,14.0,15.0,14.0,14.0,15.0,13.0,17.0,13.0,15.0,14.0,17.0,13.0,21.0,15.0,24.0,14.0,15.0,11.0,,14.0
56,233,1114,H,texas,80,-5000,0.9803921568627451,2,W,20.0,23.0,5.0,21.0,22.0,18.0,,18.0,23.0,20.0,,20.0,,23.0,,,23.0,25.0,,22.0,22.0,,,,20.0,25.0,,,,,20.0,22.0,25.0,20.0,21.0,20.0,,,19.0,20.0,22.0,19.0,,,17.0,25.0,,,,18.0,19.0,,,19.0,22.0,19.0,19.0,23.0,18.0,,,14.0,,15.0,24.0
57,239,1114,H,arkansas,90,-5000,0.9803921568627451,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,242,1114,V,princeton,73,150,0.4,2,L,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,243,1114,H,byu,82,-170,0.6296296296296297,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,245,1114,H,nevada,79,-600,0.8571428571428571,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
