,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
41,153,1112,H,louisville,72,-3500,0.9722222222222222,1,W,10.0,15.0,,10.0,19.0,15.0,17.0,14.0,16.0,18.0,13.0,16.0,,21.0,,,13.0,22.0,17.0,25.0,10.0,24.0,18.0,13.0,18.0,22.0,13.0,18.0,19.0,17.0,10.0,17.0,16.0,16.0,,23.0,13.0,15.0,18.0,22.0,13.0,12.0,16.0,19.0,17.0,21.0,13.0,17.0,19.0,14.0,12.0,15.0,23.0,14.0,10.0,21.0,19.0,19.0,18.0,14.0,11.0,16.0,18.0,20.0,16.0,,
42,163,1112,H,wisconsin,89,-2000,0.9523809523809523,1,W,,,,,,,,,,,,,,,,,25.0,20.0,,,,22.0,,,,,,,,,,,,,,,25.0,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,165,1112,H,butler,85,-400,0.8,1,W,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,21.0,,23.0,,
44,173,1112,H,virginia-tech,132,-18500,0.9946236559139785,1,W,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,
45,175,1112,H,seton-hall,75,NL,0.5,1,W,,24.0,19.0,17.0,16.0,22.0,15.0,,25.0,21.0,18.0,,19.0,23.0,24.0,19.0,24.0,16.0,20.0,19.0,,23.0,,21.0,25.0,,11.0,,18.0,16.0,18.0,,21.0,19.0,21.0,21.0,23.0,24.0,,17.0,23.0,16.0,,,24.0,,24.0,,15.0,,21.0,24.0,,20.0,18.0,18.0,22.0,24.0,17.0,,19.0,24.0,,21.0,25.0,,
46,177,1112,H,oklahoma,108,NL,0.5,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,21.0,,,,,
47,179,1112,H,boise-state,90,-5500,0.9821428571428571,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,186,1112,V,vermont,69,650,0.13333333333333333,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,187,1112,H,kentucky,73,-1000,0.9090909090909091,1,W,5.0,5.0,7.0,5.0,7.0,6.0,4.0,7.0,6.0,3.0,8.0,6.0,5.0,7.0,7.0,5.0,2.0,7.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,8.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0,5.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,7.0,7.0,5.0,4.0,5.0,6.0,4.0,4.0,,
50,189,1112,H,arkansas,101,-500,0.8333333333333334,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
