,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
36,134,1114,V,colorado-state,84.0,275,0.26666666666666666,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,135,1114,H,northern-iowa,78.0,-345,0.7752808988764045,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,138,1114,V,akron,65.0,-525,0.84,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,141,1114,H,providence,76.0,-565,0.849624060150376,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,21.0,,,,,,,,,,,,,,,,,,22.0,,,,,,
40,161,1114,H,davidson,90.0,-3095,0.9687010954616588,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,163,1114,H,butler,144.0,NL,0.5,1,W,,,17.0,14.0,24.0,21.0,,,23.0,24.0,22.0,25.0,,,18.0,21.0,,,20.0,17.0,25.0,22.0,25.0,19.0,23.0,24.0,24.0,,20.0,25.0,21.0,20.0,23.0,23.0,20.0,19.0,,20.0,20.0,22.0,21.0,18.0,20.0,23.0,21.0,20.0,25.0,,24.0,,22.0,24.0,,,23.0,,,,22.0,,,20.0,22.0,14.0,13.0,
42,167,1114,H,kentucky,87.0,NL,0.5,1,W,1.0,2.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,3.0,8.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,
43,171,1115,H,clemson,78.0,-3480,0.9720670391061452,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,179,1115,H,ucla,88.0,-325,0.7647058823529411,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,25.0,,,,,,,,,,
45,188,1115,V,iona,58.0,280,0.2631578947368421,1,L,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
